Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
822993,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,"=""000647988X""","=""9780006479888""",5,4.45,Voyager Books,Paperback,864,2009,1996,,2015/11/30,,,read,,,,1,0
1231809,"Knife of Dreams (Wheel of Time, #11)",Robert Jordan,"Jordan, Robert",,"=""1841491632""","=""9781841491639""",5,4.20,Orbit,Hardcover,783,2005,2005,,2015/11/30,,,read,,,,1,0
2295555,The Teacher's Toolkit,Paul Ginnis,"Ginnis, Paul",,"=""1899836764""","=""9781899836765""",4,4.24,Crown House Publishing,Paperback,376,2002,2001,,2015/11/30,,,read,,,,1,0
21981062,Aqa Modular Gcse Maths Coursework Companion,T Senior,"Senior, T",,"=""0582795990""","=""9780582795990""",2,2.00,Pearson Schools,Paperback,64,2003,2003,,2015/11/30,,,read,,,,1,0
7492871,Coursework Techniques for GCSE Maths,Steve Cavill,"Cavill, Steve",,"=""0521677874""","=""9780521677875""",2,2.00,Cambridge University Press,Paperback,112,2006,2005,,2015/11/30,,,read,,,,1,0
1853336,A Teacher's Guide to Classroom Research,David   Hopkins,"Hopkins, David",,"=""033521004X""","=""9780335210046""",5,3.29,Open University Press,Paperback,211,2002,1985,,2015/11/30,,,read,,,,1,0
674961,The Church and the Homosexual,John J. McNeill,"McNeill, John J.",,"=""0807079316""","=""9780807079317""",2,4.00,Beacon Press,Paperback,288,1993,1976,,2015/11/30,,,read,,,,1,0
401802,Theology Of The Body For Beginners,Christopher West,"West, Christopher",,"=""1932645349""","=""9781932645347""",2,4.29,Ascension Pr,Paperback,151,2004,2003,,2015/11/30,,,read,,,,1,0
313819,Greek for the Rest of Us,William D. Mounce,"Mounce, William D.",,"=""0310234859""","=""9780310234852""",2,4.06,Zondervan,Hardcover,320,2003,2003,,2015/11/30,,,read,,,,1,0
102124,The Life of Moses,Gregory of Nyssa,"Nyssa, Gregory of","Everett Ferguson, Abraham J. Malherbe","=""0060754648""","=""9780060754648""",4,4.29,HarperOne,Paperback,132,2006,390,,2015/11/30,,,read,,,,1,0
4375717,Deeper Experiences of Famous Christians,James Gilchrist Lawson,"Lawson, James Gilchrist",,"=""0883685175""","=""9780883685174""",2,4.11,Whitaker House,Paperback,268,1998,1981,,2015/11/30,,,read,,,,1,0
27037,Confessions,Augustine of Hippo,"Hippo, Augustine of","Henry Chadwick, Albert Cook Outler, Temple Scott","=""0192833723""","=""9780192833723""",4,4.00,Oxford University Press,Paperback,341,1998,400,,2015/11/30,,,read,,,,1,0
896103,Getting Things Done: How To Achieve Stress-free Productivity,David    Allen,"Allen, David",,"=""0749922648""","=""9780749922641""",5,4.00,Piatkus,Paperback,267,2001,2001,,2015/11/30,,,read,,,,1,0
4683903,With Christ in the School of Prayer,Andrew Murray,"Murray, Andrew",,"=""0913367567""","=""9780913367568""",4,4.39,Whitaker House,Paperback,238,1981,1885,,2015/11/30,,,read,,,,1,0
53954,A Call to Spiritual Reformation: Priorities from Paul and His Prayers,D.A. Carson,"Carson, D.A.",,"=""0851109764""","=""9780851109763""",5,4.37,Baker Academic,Paperback,230,2009,1992,,2015/11/30,,,read,,,,1,0
539388,Systematic Theology : An Introduction to Biblical Doctrine,Wayne Grudem,"Grudem, Wayne",,"=""0851106528""","=""9780851106526""",2,4.23,Zondervan,Hardcover,1264,1994,1994,,2015/11/30,,,read,,,,1,0
820343,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,"=""0747591059""","=""9780747591054""",5,4.62,Bloomsbury Publishing,Hardcover,607,2007,2007,,2015/11/30,,,read,,,,1,0
20969798,Maths Challenge (Bk.2),Tony Gardiner,"Gardiner, Tony",,"=""0199147787""","=""9780199147786""",3,3.00,Oxford University Press,Paperback,112,2000,2005,,2015/11/30,,,read,,,,1,0
4006947,Maths Challenge (Bk.1),Tony  Gardiner,"Gardiner, Tony",,"=""0199147779""","=""9780199147779""",3,3.50,Oxford Schools,Paperback,96,2000,2006,,2015/11/30,,,read,,,,1,0
567610,How to Read a Book: The Classic Guide to Intelligent Reading,Mortimer J. Adler,"Adler, Mortimer J.",Charles van Doren,"=""""","=""""",5,3.98,"Simon & Schuster, Inc",Paperback,442,1972,1940,,2015/11/30,,,read,,,,1,0
929964,Lectures to My Students,Charles Haddon Spurgeon,"Spurgeon, Charles Haddon",,"=""0310329116""","=""9780310329114""",4,4.47,Zondervan,Paperback,443,1979,1889,,2015/11/30,,,read,,,,1,0
743697,The Soulwinner,Charles Haddon Spurgeon,"Spurgeon, Charles Haddon",,"=""0883687097""","=""9780883687093""",4,4.47,Whitaker House,Paperback,288,2001,1895,,2015/11/30,,,read,,,,1,0
908532,A Passion for Holiness in a Believer's Life (Believer's Life Series),Charles Haddon Spurgeon,"Spurgeon, Charles Haddon",,"=""1883002079""","=""9781883002077""",4,4.46,Emerald Books,Paperback,192,1999,1999,,2015/11/30,,,read,,,,1,0
1190036,"Knife of Dreams (Wheel of Time, #11)",Robert Jordan,"Jordan, Robert",,"=""1841492280""","=""9781841492285""",4,4.20,Orbit,Mass Market Paperback,813,2006,2005,,2015/11/30,,,read,,,,1,0
998365,"Secrets of the Setters: How to Solve the "" Guardian "" Crossword (Guardian)",Hugh Stephenson,"Stephenson, Hugh",,"=""1843544695""","=""9781843544692""",4,3.65,Guardian Books,Paperback,,2007,2005,,2015/11/30,,,read,,,,1,0
27567242,The Mystery of Providence,John Flavel,"Flavel, John",Michael Boland,"=""085151104X""","=""9780851511047""",3,4.50,Banner of Truth,Paperback,221,1963,1678,,2015/11/30,,,read,,,,1,0
446505,The Godly Man's Picture,Thomas Watson,"Watson, Thomas",,"=""0851515959""","=""9780851515953""",3,4.46,Banner of Truth,Paperback,256,1992,1987,,2015/11/30,,,read,,,,1,0
1958785,Do Hard Things: A Teenage Rebellion Against Low Expectations,Alex  Harris,"Harris, Alex","Brett Harris, Chuck Norris","=""1601421125""","=""9781601421128""",3,4.04,Multnomah,Hardcover,242,2008,2008,,2015/11/30,,,read,,,,1,0
20602676,The Bruised Reed,Richard Sibbes,"Sibbes, Richard",,"=""0851517404""","=""9780851517407""",3,4.44,Banner of Truth Trust,Paperback,128,1998,1630,,2015/11/30,,,read,,,,1,0
1091125,Behaviour Management Pocketbook (Teachers' Pocketbooks),Peter  Hook,"Hook, Peter",Andy Vass,"=""1903776597""","=""9781903776599""",3,3.90,Management Pocketbooks,Paperback,,2004,2004,,2015/11/30,,,read,,,,1,0
1091127,Creative Teaching Pocketbook (Teachers' Pocketbooks),Roy Watson-Davis,"Watson-Davis, Roy",Phil Hailstone,"=""1903776627""","=""9781903776629""",3,3.48,Management Pocketbooks,Paperback,,2004,2004,,2015/11/30,,,read,,,,1,0
4011163,Signs of the Apostles,Walter J. Chantry,"Chantry, Walter J.",,"=""0851511759""","=""9780851511757""",3,3.88,Banner of Truth,Paperback,102,1973,1973,,2015/11/30,,,read,,,,1,0
737584,Baptism And Fullness: The Work of the Holy Spirit Today (IVP Classics),John R.W. Stott,"Stott, John R.W.",,"=""0830834028""","=""9780830834020""",4,4.20,IVP,Paperback,154,2006,1964,,2015/11/30,,,read,,,,1,0
1514192,Search the Scriptures: A Three-Year Daily Devotional Guide to the Whole Bible,Alan M. Stibbs,"Stibbs, Alan M.",,"=""0830811206""","=""9780830811205""",5,4.49,IVP,Paperback,541,2004,1967,,2015/11/30,,,read,,,,1,0
1858013,The Reason for God: Belief in an Age of Skepticism,Timothy J. Keller,"Keller, Timothy J.",,"=""0525950494""","=""9780525950493""",4,4.23,Dutton,Hardcover,293,2008,2008,,2015/11/30,,,read,,,,1,0
1120,Body for Life: 12 Weeks to Mental and Physical Strength,Bill Phillips,"Phillips, Bill",Michael D'Orso,"=""0060193395""","=""9780060193393""",3,3.74,"HarperCollins Publishers, Inc.",Hardcover,201,1999,1999,,2015/11/30,,,read,,,,1,0
21199712,NEWTON FAULKNER: HAND BUILT BY ROBOTS GUITARE (Tab),Dick Arthur,"Arthur, Dick",,"=""1847724477""","=""9781847724472""",5,4.67,MUSIC SALES,Paperback,88,2008,2008,,2015/11/30,,,read,,,,1,0
844708,Our Mutual Friend,Charles Dickens,"Dickens, Charles",Marcus Stone,"=""1853261947""","=""9781853261947""",2,4.09,Wordsworth Editions Ltd,Paperback,794,1998,1865,,2015/11/30,,,read,,,,1,0
4040988,"Child 44 (Leo Demidov,  #1)",Tom Rob Smith,"Smith, Tom Rob",,"=""1847391591""","=""9781847391599""",2,4.11,Pocket Books UK,Paperback,470,2009,2008,,2015/11/30,,,read,,,,1,0
6865116,Running Is Easy,Bruce Tulloh,"Tulloh, Bruce",,"=""0002187310""","=""9780002187312""",3,3.86,Harpercollins Pub Ltd,Paperback,192,1999,1999,,2015/11/30,,,read,,,,1,0
4988931,The Wonderful Weekend Book,Elspeth Thompson,"Thompson, Elspeth",,"=""1848540469""","=""9781848540460""",4,3.76,John Murray,Hardcover,352,2008,2008,,2015/11/30,,,read,,,,1,0
6390995,Leaving Homosexuality: A Practical Guide for Men and Women Looking for a Way Out,Alan Chambers,"Chambers, Alan",,"=""0736926100""","=""9780736926102""",1,3.00,Harvest House Publishers,Paperback,160,2009,2009,,2015/11/30,,,read,,,,1,0
618683,Rough Guide to Pregnancy and Birth,Kaz Cooke,"Cooke, Kaz",,"=""1843536846""","=""9781843536840""",1,3.87,ROUGH GUIDES (PENG),Paperback,421,2006,1999,,2015/11/30,,,read,,,,1,0
817655,Toxic Childhood: How the Modern World is Damaging Our Children and What We Can Do About It,Sue Palmer,"Palmer, Sue",,"=""0752880918""","=""9780752880914""",4,3.97,Orion,Paperback,368,2007,2003,,2015/11/30,,,read,,,,1,0
7811877,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,"Lemov, Doug",,"=""0470550473""","=""9780470550472""",4,4.01,Jossey-Bass,Paperback,332,2010,2010,,2015/11/30,,,read,,,,1,0
242511,Take and Read: Spiritual Reading (An Annotated List),Eugene H. Peterson,"Peterson, Eugene H.",,"=""0802840965""","=""9780802840967""",4,4.15,Wm. B. Eerdmans-Lightning Source,Paperback,136,1995,1995,,2015/11/30,,,read,,,,1,0
6943773,Grace and Mortgage: The Language of Faith and the Debt of the World,Peter Selby,"Selby, Peter",,"=""0232521700""","=""9780232521702""",2,3.20,Darton Longman & Todd,Paperback,208,1997,1899,,2015/11/30,,,read,,,,1,0
8474155,"The Wavewatcher's Companion by Pretor-Pinney, Gavin (2010) Hardcover",Gavin Pretor-Pinney,"Pretor-Pinney, Gavin",,"=""0747589763""","=""9780747589761""",3,3.86,Bloomsbury Publishing PLC,Hardcover,336,2010,2010,,2015/11/30,,,read,,,,1,0
840751,The No.1 Ladies' Detective Agency,Alexander McCall Smith,"Smith, Alexander McCall",,"=""1405500018""","=""9781405500012""",1,3.81,Hachette Audio,Audio CD,1,2003,1998,,2015/11/30,,,read,,,,1,0
9461338,What Did You Expect?: Redeeming the Realities of Marriage,tripp-paul-david,"tripp-paul-david, tripp-paul-david",,"=""1844744744""","=""9781844744749""",4,4.31,Inter-Varsity Press,Paperback,288,2010,2010,,2015/11/30,,,read,,,,1,0
